,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1688696,San Policarpo,12.1791,125.5072,300.94,77,63,0.29,PH,2021-02-13 04:52:47
5972291,Havre-St-Pierre,50.2334,-63.5986,265.15,62,90,3.6,CA,2021-02-13 04:52:47
3466165,Cidreira,-30.1811,-50.2056,297.04,80,100,7.22,BR,2021-02-13 04:52:47
5866583,Saint Paul Harbor,57.79,-152.4072,275.15,75,90,6.69,US,2021-02-13 04:52:47
3466704,Castro,-24.7911,-50.0119,288.64,94,31,1.02,BR,2021-02-13 04:52:47
4231997,Avera,33.194,-82.5271,278.15,92,90,3.09,US,2021-02-13 04:52:48
1045114,Inhambane,-23.865,35.3833,299.15,89,75,4.12,MZ,2021-02-13 04:52:48
2015306,Tiksi,71.6872,128.8694,249.56,91,73,2.5,RU,2021-02-13 04:52:48
2112309,Katsuura,35.1333,140.3,290.37,71,75,1.54,JP,2021-02-13 04:52:48
5993072,Kitimat,54.0524,-128.6534,269.15,36,90,7.72,CA,2021-02-13 04:52:48
3355672,Lüderitz,-26.6481,15.1594,290.4,88,27,3.19,NA,2021-02-13 04:52:48
5847411,Kahului,20.8947,-156.47,300.15,54,40,4.63,US,2021-02-13 04:52:48
3625710,Upata,8.0086,-62.3989,296.48,89,56,1.79,VE,2021-02-13 04:52:48
3883457,Lebu,-37.6167,-73.65,287.01,84,0,6.56,CL,2021-02-13 04:52:49
6165406,Thompson,55.7435,-97.8558,234.15,67,1,1.03,CA,2021-02-13 04:52:49
5563839,Fortuna,40.5982,-124.1573,283.71,100,90,1.99,US,2021-02-13 04:52:49
3146487,Raudeberg,61.9875,5.1352,271.48,36,9,5.65,NO,2021-02-13 04:52:49
1507390,Dikson,73.5069,80.5464,240.87,87,98,5.09,RU,2021-02-13 04:52:49
215771,Isiro,2.7739,27.616,292.49,49,86,0.96,CD,2021-02-13 04:52:49
5924351,Clyde River,70.4692,-68.5914,255.15,85,99,8.75,CA,2021-02-13 04:52:49
942511,Vryburg,-26.9566,24.7284,294.22,65,34,1.58,ZA,2021-02-13 04:52:50
2641434,Northam,51.0333,-4.2167,275.37,79,100,4.47,GB,2021-02-13 04:52:50
3840092,Puerto Madryn,-42.7692,-65.0385,294.74,70,93,9.71,AR,2021-02-13 04:52:50
3369157,Cape Town,-33.9258,18.4232,292.04,88,0,1.54,ZA,2021-02-13 04:40:58
5848280,Kapaa,22.0752,-159.319,296.15,64,1,2.06,US,2021-02-13 04:48:34
2017042,Selikhino,50.3672,137.4996,267.15,96,100,4.7,RU,2021-02-13 04:52:50
2155415,New Norfolk,-42.7826,147.0587,292.59,41,85,1.34,AU,2021-02-13 04:50:46
2294915,Takoradze,4.8845,-1.7554,299.82,88,12,4.22,GH,2021-02-13 04:52:50
1805518,Jining,35.405,116.5814,288.71,60,98,4.36,CN,2021-02-13 04:52:51
565407,Dombarovskiy,50.7587,59.5386,267.13,96,55,5.04,RU,2021-02-13 04:52:51
2249281,Linguère,15.3953,-15.1193,295.66,15,5,5.27,SN,2021-02-13 04:52:51
5742974,North Bend,43.4065,-124.2243,284.15,93,90,5.66,US,2021-02-13 04:52:51
2629833,Husavik,66.0449,-17.3389,277.15,65,20,5.66,IS,2021-02-13 04:52:51
2961459,Skibbereen,51.55,-9.2667,278.15,93,90,13.89,IE,2021-02-13 04:52:51
6690296,Saint-Joseph,-21.3667,55.6167,303.15,61,0,11.32,RE,2021-02-13 04:52:51
5690366,Mandan,46.8267,-100.8896,246.15,76,20,2.57,US,2021-02-13 04:52:52
4035715,Avarua,-21.2078,-159.775,302.15,65,1,2.06,CK,2021-02-13 04:52:52
347863,Sīwah,29.2041,25.5195,282.65,84,0,2.81,EG,2021-02-13 04:52:52
1015776,Bredasdorp,-34.5322,20.0403,294.15,83,27,2.57,ZA,2021-02-13 04:52:52
1058381,Morondava,-20.2833,44.2833,299.11,77,98,6.69,MG,2021-02-13 04:52:52
5550368,Wasco,35.5941,-119.341,285.15,76,1,3.7,US,2021-02-13 04:52:52
4031574,Provideniya,64.3833,-173.3,256.44,91,100,12.37,RU,2021-02-13 04:52:52
2094342,Kavieng,-2.5744,150.7967,302.15,76,59,4.49,PG,2021-02-13 04:52:53
100926,Umluj,25.0213,37.2685,296.12,55,0,4.09,SA,2021-02-13 04:52:53
3448903,São João da Barra,-21.6403,-41.0511,297.82,86,100,6.42,BR,2021-02-13 04:52:53
3443061,Chui,-33.6971,-53.4616,293.46,93,100,1.67,UY,2021-02-13 04:52:53
3430863,Mar del Plata,-38.0023,-57.5575,294.15,94,90,4.12,AR,2021-02-13 04:52:24
3700393,Tubualá,9.5167,-79.0333,298.15,73,20,1.03,PA,2021-02-13 04:52:53
3985710,Cabo San Lucas,22.8909,-109.9124,289.82,88,1,5.66,MX,2021-02-13 04:52:53
1278931,Amalner,21.05,75.0667,301.16,19,0,2.53,IN,2021-02-13 04:52:53
4787534,Sterling,39.0062,-77.4286,272.15,74,90,2.06,US,2021-02-13 04:51:27
3374120,Vila do Maio,15.1333,-23.2167,293.15,73,0,9.77,CV,2021-02-13 04:52:54
4031637,Lavrentiya,65.5833,-171.0,252.82,90,100,7.88,RU,2021-02-13 04:52:54
5983720,Iqaluit,63.7506,-68.5145,251.15,64,75,5.66,CA,2021-02-13 04:52:36
1337612,Dhidhdhoo,6.8833,73.1,300.16,61,75,3.05,MV,2021-02-13 04:52:54
2121126,Smirnykh,49.75,142.8333,270.94,97,73,0.78,RU,2021-02-13 04:52:54
5882953,Aklavik,68.2191,-135.0107,255.15,78,91,1.54,CA,2021-02-13 04:52:54
3361934,Saldanha,-33.0117,17.9442,290.15,88,0,1.03,ZA,2021-02-13 04:52:54
2063042,Port Hedland,-20.3167,118.5667,305.15,58,41,6.69,AU,2021-02-13 04:52:55
1512101,Agirish,61.9247,63.0231,250.07,91,100,0.81,RU,2021-02-13 04:52:55
158825,Izazi,-7.2,35.7333,290.15,94,75,0.6,TZ,2021-02-13 04:52:55
80509,Al Bardīyah,31.7561,25.0865,285.26,76,0,1.69,LY,2021-02-13 04:52:55
1259385,Port Blair,11.6667,92.75,301.37,66,48,6.23,IN,2021-02-13 04:52:55
6170031,Tuktoyaktuk,69.4541,-133.0374,250.15,84,75,2.57,CA,2021-02-13 04:52:55
3468352,Caçu,-18.5567,-51.1308,293.05,88,100,1.83,BR,2021-02-13 04:52:55
5880054,Barrow,71.2906,-156.7887,250.15,70,90,1.77,US,2021-02-13 04:52:55
3421319,Nuuk,64.1835,-51.7216,266.15,86,90,6.17,GL,2021-02-13 04:52:56
5122534,Jamestown,42.097,-79.2353,263.15,79,1,2.57,US,2021-02-13 04:52:56
1254608,Narkanda,31.2548,77.4613,286.15,62,40,0.9,IN,2021-02-13 04:52:56
3703443,Panama City,8.9936,-79.5197,298.15,73,20,1.03,PA,2021-02-13 04:51:40
2071860,Esperance,-33.8667,121.9,300.15,41,1,5.14,AU,2021-02-13 04:52:56
2512186,Puerto del Rosario,28.5004,-13.8627,291.15,77,75,7.2,ES,2021-02-13 04:52:56
2159220,Mackay,-21.15,149.2,304.15,45,71,5.66,AU,2021-02-13 04:52:56
3514684,Villa Corzo,16.1667,-93.25,295.15,64,1,3.09,MX,2021-02-13 04:52:56
3404817,Breves,-1.6822,-50.4803,297.12,97,100,1.59,BR,2021-02-13 04:52:57
2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,268.15,50,74,2.0,RU,2021-02-13 04:52:57
2070998,Geraldton,-28.7667,114.6,305.15,45,40,9.77,AU,2021-02-13 04:52:57
213940,Kasongo,-4.45,26.6667,294.03,97,96,0.79,CD,2021-02-13 04:52:57
1805833,Jiexiu,37.0244,111.9125,284.59,41,100,1.52,CN,2021-02-13 04:51:05
3465749,Conceição do Castelo,-20.3683,-41.2439,291.02,94,100,1.8,BR,2021-02-13 04:52:57
555798,Issa,53.8705,44.8578,274.67,98,100,5.61,RU,2021-02-13 04:52:57
2122414,Orotukan,62.2667,151.7,250.96,88,100,1.2,RU,2021-02-13 04:52:57
477940,Ust-Tsilma,65.441,52.1498,248.58,89,79,0.74,RU,2021-02-13 04:52:58
1490256,Talnakh,69.4865,88.3972,243.94,85,100,1.13,RU,2021-02-13 04:52:58
1650434,Bambanglipuro,-7.95,110.2833,302.03,72,44,3.49,ID,2021-02-13 04:52:58
1688781,City of San Pedro,14.35,121.0167,299.82,83,90,2.57,PH,2021-02-13 04:52:58
777019,Vardø,70.3705,31.1107,266.26,93,48,5.29,NO,2021-02-13 04:52:58
2021031,Kyren,51.6828,102.1408,256.96,80,82,0.55,RU,2021-02-13 04:52:58
3728097,Les Cayes,18.2,-73.75,296.62,74,1,2.2,HT,2021-02-13 04:52:58
934322,Mahébourg,-20.4081,57.7,301.15,69,75,6.17,MU,2021-02-13 04:52:58
1788206,Xixiang,35.1628,112.865,289.25,54,100,1.71,CN,2021-02-13 04:52:59
5106841,Albany,42.6001,-73.9662,262.04,54,79,1.81,US,2021-02-13 04:48:31
1819729,Hong Kong,22.2855,114.1577,296.48,61,74,3.58,HK,2021-02-13 04:50:45
2122262,Palana,59.1167,159.9667,255.2,88,0,7.3,RU,2021-02-13 04:52:59
3932145,Pisco,-13.7,-76.2167,296.15,73,0,4.63,PE,2021-02-13 04:52:59
3435261,Concordia,-31.393,-58.0209,291.48,100,2,1.73,AR,2021-02-13 04:52:59
2750460,Neede,52.1342,6.6139,263.15,90,0,0.45,NL,2021-02-13 04:52:59
3092472,Malbork,54.0359,19.0266,272.04,86,75,5.14,PL,2021-02-13 04:53:00
4952206,Stoughton,42.1251,-71.1023,269.15,36,90,2.06,US,2021-02-13 04:53:00
3188383,Varaždin,46.3044,16.3378,264.82,40,66,0.45,HR,2021-02-13 04:53:00
1608528,Nakhon Ratchasima,15.0,102.1667,300.37,74,0,3.09,TH,2021-02-13 04:53:00
6141256,Saskatoon,52.1168,-106.6345,244.15,76,1,2.06,CA,2021-02-13 04:51:26
2126785,Belaya Gora,68.5333,146.4167,242.41,81,0,1.77,RU,2021-02-13 04:53:00
2644210,Liverpool,53.4106,-2.9779,272.15,69,90,7.72,GB,2021-02-13 04:53:00
5557293,Sitka,57.0531,-135.33,276.15,30,20,3.09,US,2021-02-13 04:52:27
1853371,Ryōtsu-minato,38.0833,138.4333,288.15,33,40,3.6,JP,2021-02-13 04:53:01
3670218,San Andrés,12.5847,-81.7006,299.15,78,20,3.09,CO,2021-02-13 04:52:00
1495586,Parabel',58.6978,81.4825,247.96,88,100,2.7,RU,2021-02-13 04:53:01
4566022,Loíza,18.4313,-65.8802,296.48,88,20,6.62,PR,2021-02-13 04:53:01
3372760,Praia da Vitória,38.7333,-27.0667,289.15,72,40,12.58,PT,2021-02-13 04:53:01
2032614,Baruun-Urt,46.6806,113.2792,255.89,80,81,1.21,MN,2021-02-13 04:53:01
1267390,Kavaratti,10.5669,72.642,300.29,64,49,2.82,IN,2021-02-13 04:48:13
2012938,Yerofey Pavlovich,53.9667,121.9667,255.06,88,100,2.25,RU,2021-02-13 04:53:01
2180991,Tolaga Bay,-38.3667,178.3,292.22,67,0,4.18,NZ,2021-02-13 04:53:02
4034551,Faanui,-16.4833,-151.75,300.86,73,28,4.55,PF,2021-02-13 04:53:02
4560349,Philadelphia,39.9523,-75.1638,271.48,50,90,1.54,US,2021-02-13 04:49:14
3899695,Ancud,-41.8697,-73.8203,285.37,81,0,4.12,CL,2021-02-13 04:53:02
4513583,Hamilton,39.1834,-84.5333,269.26,74,90,4.63,US,2021-02-13 04:48:42
3576994,Cockburn Town,21.4612,-71.1419,298.05,77,0,10.5,TC,2021-02-13 04:53:02
1256245,Simga,21.6333,81.7,300.78,22,10,1.31,IN,2021-02-13 04:53:03
5127305,Monroe,43.1501,-77.6831,262.59,85,90,2.57,US,2021-02-13 04:41:08
964712,Plettenberg Bay,-34.0527,23.3716,295.25,94,83,0.64,ZA,2021-02-13 04:53:03
2028164,Deputatsky,69.3,139.9,245.6,90,100,1.21,RU,2021-02-13 04:53:03
877747,Mtwara,-10.2667,40.1833,298.15,100,75,4.63,TZ,2021-02-13 04:53:03
778707,Mehamn,71.0357,27.8492,266.35,96,80,3.54,NO,2021-02-13 04:53:03
2082539,Merauke,-8.4667,140.3333,302.38,74,100,3.09,ID,2021-02-13 04:53:03
2208248,Kaitangata,-46.2817,169.8464,291.48,75,86,3.13,NZ,2021-02-13 04:53:03
1687894,Santa Rosa,14.3122,121.1114,299.82,83,90,2.57,PH,2021-02-13 04:53:04
2025241,Churapcha,62.0025,132.4325,260.14,91,100,0.37,RU,2021-02-13 04:53:04
2138555,Poum,-20.2333,164.0167,300.51,70,1,3.91,NC,2021-02-13 04:53:04
337405,Gambēla,8.25,34.5833,301.08,19,73,2.35,ET,2021-02-13 04:53:04
2229761,Kribi,2.95,9.9167,299.59,86,26,2.39,CM,2021-02-13 04:53:04
108410,Riyadh,24.6877,46.7219,283.15,53,0,1.87,SA,2021-02-13 04:49:25
4021858,Guerrero Negro,27.9769,-114.0611,288.4,84,18,7.8,MX,2021-02-13 04:53:04
2123814,Leningradskiy,69.3833,178.4167,244.72,84,100,2.87,RU,2021-02-13 04:53:04
933535,Letlhakane,-21.4167,25.5833,294.06,70,70,1.98,BW,2021-02-13 04:53:05
4026082,Lázaro Cárdenas,17.9583,-102.2,293.17,77,3,2.09,MX,2021-02-13 04:53:05
2030065,Mandalgovi,45.7625,106.2708,260.98,80,100,4.55,MN,2021-02-13 04:53:05
4692856,Galveston,29.3669,-94.9669,279.15,81,90,8.23,US,2021-02-13 04:53:05
1804169,Lengshuijiang,27.6881,111.4294,290.86,58,14,1.64,CN,2021-02-13 04:53:05
3439156,Carmen del Paraná,-27.2333,-56.2167,293.71,80,55,1.17,PY,2021-02-13 04:53:05
5969025,Haines Junction,60.7522,-137.5108,246.15,76,0,0.51,CA,2021-02-13 04:53:05
6089245,Norman Wells,65.282,-126.8329,244.15,83,20,3.07,CA,2021-02-13 04:53:06
1642414,Jombang,-7.546,112.2331,304.15,74,40,6.69,ID,2021-02-13 04:53:06
6255012,Flinders,-34.5833,150.8552,294.26,82,100,1.79,AU,2021-02-13 04:53:06
5391295,Salinas,36.6777,-121.6555,285.15,82,90,1.6,US,2021-02-13 04:53:06
2021041,Kyra,49.5776,111.9753,256.38,79,4,2.45,RU,2021-02-13 04:53:06
50814,Wajid,3.8093,43.2471,296.9,50,12,11.15,SO,2021-02-13 04:53:06
3356832,Henties Bay,-22.116,14.2845,294.26,89,46,1.79,NA,2021-02-13 04:53:07
3381041,Mana,5.6592,-53.7767,298.32,88,31,5.41,GF,2021-02-13 04:53:07
342567,Bedelē,8.456,36.353,290.02,34,74,0.77,ET,2021-02-13 04:53:07
1254046,Tura,25.5198,90.2201,299.92,30,0,1.14,IN,2021-02-13 04:53:07
3421982,Maniitsoq,65.4167,-52.9,263.26,88,11,5.78,GL,2021-02-13 04:53:05
2189343,Kaeo,-35.1,173.7833,297.04,58,0,3.58,NZ,2021-02-13 04:53:07
2283016,Odienné,9.51,-7.5692,293.79,24,0,0.67,CI,2021-02-13 04:53:07
5380420,Pacifica,37.6138,-122.4869,285.15,82,75,9.77,US,2021-02-13 04:53:07
1498919,Mezhdurechenskiy,59.6,65.9333,254.19,92,100,2.61,RU,2021-02-13 04:53:08
4499379,Wilmington,34.2257,-77.9447,277.59,93,90,4.12,US,2021-02-13 04:45:52
176758,Kaputa,-8.4689,29.6619,292.66,91,100,1.62,ZM,2021-02-13 04:53:08
3163146,Andenes,69.3143,16.1194,271.15,59,90,9.53,NO,2021-02-13 04:53:08
338345,Edd,13.9297,41.6925,300.97,38,31,5.79,ER,2021-02-13 04:53:08
3372707,Ribeira Grande,38.5167,-28.7,289.22,79,100,13.78,PT,2021-02-13 04:53:08
3435679,Caraguatay,-26.6059,-54.7809,292.32,96,4,0.89,AR,2021-02-13 04:53:08
141665,Bandar-e Lengeh,26.5579,54.8807,290.15,100,24,2.06,IR,2021-02-13 04:53:09
5364271,Laguna,38.421,-121.4238,285.93,82,1,2.57,US,2021-02-13 04:52:47
1649150,Bengkulu,-3.8004,102.2655,302.96,66,36,4.26,ID,2021-02-13 04:53:09
1651810,Airai,-8.9266,125.4092,294.99,95,77,0.97,TL,2021-02-13 04:53:09
779082,Lakselv,70.0513,24.9718,270.15,63,75,6.17,NO,2021-02-13 04:53:09
311104,İslahiye,37.025,36.6306,284.82,100,20,2.06,TR,2021-02-13 04:53:09
1785036,Zhangye,38.9342,100.4517,281.01,46,63,3.99,CN,2021-02-13 04:53:09
1283285,Jumla,29.2747,82.1838,287.8,28,17,1.62,NP,2021-02-13 04:53:09
964406,Port Shepstone,-30.7414,30.455,297.79,80,0,4.81,ZA,2021-02-13 04:53:10
5044290,Saint Anthony,45.0205,-93.218,251.15,54,1,2.57,US,2021-02-13 04:53:10
3984997,San Quintín,30.4833,-115.95,286.65,77,2,5.98,MX,2021-02-13 04:53:10
469960,Vytegra,61.0064,36.4481,250.49,86,90,1.12,RU,2021-02-13 04:53:10
1795196,Tongchuanshi,35.0806,109.0897,282.38,61,100,1.12,CN,2021-02-13 04:53:10
3374083,Bathsheba,13.2167,-59.5167,299.15,65,40,9.26,BB,2021-02-13 04:53:10
2180815,Tuatapere,-46.1333,167.6833,292.59,71,92,1.79,NZ,2021-02-13 04:50:08
2460954,Araouane,18.9048,-3.5265,294.03,18,0,4.27,ML,2021-02-13 04:53:11
1495626,Pangody,65.85,74.4859,242.38,86,100,1.91,RU,2021-02-13 04:53:11
5197085,Lancaster,40.2504,-76.2499,271.15,46,90,2.57,US,2021-02-13 04:48:52
1633419,Padang,-0.9492,100.3543,305.15,66,20,2.57,ID,2021-02-13 04:53:11
5469841,Grants,35.1473,-107.8514,273.15,59,1,3.09,US,2021-02-13 04:53:11
2264557,Ponta do Sol,32.6667,-17.1,285.93,72,22,1.34,PT,2021-02-13 04:53:11
2170577,Cooma,-36.2333,149.1333,293.15,52,40,6.69,AU,2021-02-13 04:53:11
415189,Aden,12.7794,45.0367,297.75,68,48,4.98,YE,2021-02-13 04:53:11
2126710,Beringovskiy,63.05,179.3167,250.36,89,100,13.0,RU,2021-02-13 04:53:12
1056899,Sambava,-14.2667,50.1667,298.85,80,99,2.09,MG,2021-02-13 04:53:12
3388847,São Félix do Xingu,-6.6447,-51.995,296.01,96,100,1.44,BR,2021-02-13 04:53:12
1151073,Prachuap Khiri Khan,12.2167,99.75,302.15,61,20,2.57,TH,2021-02-13 04:53:12
3354077,Opuwo,-18.0607,13.84,289.15,87,92,1.37,NA,2021-02-13 04:53:12
477579,Uyemskiy,64.4743,40.8524,248.15,77,40,2.0,RU,2021-02-13 04:53:12
2027042,Batagay-Alyta,67.8006,130.4114,253.55,81,0,0.21,RU,2021-02-13 04:53:12
2507480,Algiers,36.7525,3.042,284.15,87,20,2.06,DZ,2021-02-13 04:53:13
2022572,Khatanga,71.9667,102.5,241.36,86,99,3.86,RU,2021-02-13 04:48:39
6137462,Saint-Augustin,51.226,-58.6502,259.57,91,1,4.65,CA,2021-02-13 04:53:13
2063036,Port Lincoln,-34.7333,135.8667,293.4,61,21,5.63,AU,2021-02-13 04:53:13
1586350,Cam Ranh,11.9214,109.1591,300.15,47,20,5.66,VN,2021-02-13 04:53:13
1795632,Shenjiamen,29.9576,122.298,285.48,90,23,3.52,CN,2021-02-13 04:53:13
2344415,Duku,11.2361,4.9073,295.5,19,0,3.02,NG,2021-02-13 04:53:14
5554072,Juneau,58.3019,-134.4197,273.15,29,1,5.66,US,2021-02-13 04:53:14
1684245,Tagusao,9.1924,117.8141,300.11,82,88,5.97,PH,2021-02-13 04:53:14
86049,Jalu,29.0331,21.5482,282.04,82,0,1.98,LY,2021-02-13 04:53:14
3374210,São Filipe,14.8961,-24.4956,295.79,60,0,7.65,CV,2021-02-13 04:53:14
1788852,Xining,36.6167,101.7667,276.11,69,31,1.78,CN,2021-02-13 04:53:14
3418910,Upernavik,72.7868,-56.1549,253.61,82,2,3.65,GL,2021-02-13 04:53:15
2647356,Hastings,50.8552,0.5729,270.37,60,31,1.79,GB,2021-02-13 04:53:15
638936,Rovaniemi,66.5,25.7167,264.15,79,0,4.63,FI,2021-02-13 04:53:15
3421719,Narsaq,60.9167,-46.05,279.15,31,75,15.43,GL,2021-02-13 04:53:15
1804892,Juye,35.3947,116.0883,289.09,56,100,4.02,CN,2021-02-13 04:53:15
3382160,Cayenne,4.9333,-52.3333,298.15,100,75,2.57,GF,2021-02-13 04:53:15
5746545,Portland,45.5234,-122.6762,270.37,74,90,10.8,US,2021-02-13 04:51:00
5870133,Nome,64.5011,-165.4064,272.15,69,90,9.77,US,2021-02-13 04:53:15
2065594,Mount Isa,-20.7333,139.5,310.15,32,90,3.6,AU,2021-02-13 04:53:15
3471451,Arraial do Cabo,-22.9661,-42.0278,297.36,88,100,6.22,BR,2021-02-13 04:51:02
2109528,Buala,-8.145,159.5921,300.34,85,100,5.96,SB,2021-02-13 04:53:16
527321,Mezen',65.8522,44.24,248.72,89,79,2.75,RU,2021-02-13 04:53:16
3832899,Viedma,-40.8135,-62.9967,293.71,84,100,0.45,AR,2021-02-13 04:53:16
3921355,Challapata,-18.9,-66.7667,281.02,56,0,2.55,BO,2021-02-13 04:53:16
5435464,Pueblo,38.2545,-104.6091,258.15,85,90,4.12,US,2021-02-13 04:45:59
6144312,Sept-Îles,50.2001,-66.3821,264.15,67,90,3.77,CA,2021-02-13 04:50:02
2729907,Longyearbyen,78.2186,15.6401,262.15,67,75,7.2,SJ,2021-02-13 04:53:17
3386213,Touros,-5.1989,-35.4608,299.15,83,40,2.06,BR,2021-02-13 04:53:17
1106643,Quatre Cocos,-20.2078,57.7625,301.48,69,75,6.17,MU,2021-02-13 04:53:17
932698,Hlotse,-28.8718,28.045,290.25,64,15,0.92,LS,2021-02-13 04:53:17
1502879,Kolosovka,56.4678,73.611,249.98,90,81,4.34,RU,2021-02-13 04:53:17
